Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)            I(VDD)      
78       2.27527735e-10   -4.44310448e-02    1.62428932e+00    6.95331585e+00   -1.72556414e-01   -3.46546968e-02
79       2.30861069e-10   -2.24663068e-02    1.71245042e+00    6.89874668e+00   -2.14232622e-01   -3.51563080e-02
80       2.34194402e-10    8.07979689e-03    1.80799735e+00    6.84209474e+00   -2.55235618e-01   -3.56750539e-02
81       2.37527735e-10    3.55396927e-02    1.89893268e+00    6.78923834e+00   -2.89920156e-01   -3.61581502e-02
82       2.40861069e-10    4.94246339e-02    1.97467309e+00    6.74424362e+00   -3.14758908e-01   -3.65702272e-02
83       2.44194402e-10    4.44310448e-02    2.03007097e+00    6.70861365e+00   -3.28932499e-01   -3.68988280e-02
84       2.47527735e-10    2.24663068e-02    2.06729545e+00    6.68143379e+00   -3.34014135e-01   -3.71520143e-02
85       2.50861069e-10   -8.07979689e-03    2.09489562e+00    6.65973236e+00   -3.33466219e-01   -3.73552285e-02
86       2.54194402e-10   -3.55396927e-02    2.12445046e+00    6.63934584e+00   -3.31681163e-01   -3.75443164e-02
87       2.57527735e-10   -4.94246339e-02    2.16609535e+00    6.61624883e+00   -3.32634326e-01   -3.77544640e-02
88       2.60861069e-10   -4.44310448e-02    2.22461683e+00    6.58812093e+00   -3.38394594e-01   -3.80064823e-02
89       2.64194402e-10   -2.24663068e-02    2.29759862e+00    6.55513722e+00   -3.48482404e-01   -3.82998285e-02
90       2.67527735e-10    8.07979689e-03    2.37634056e+00    6.51962734e+00   -3.60364068e-01   -3.86155563e-02
91       2.70861069e-10    3.55396927e-02    2.44920799e+00    6.48486549e+00   -3.70755271e-01   -3.89267411e-02
92       2.74194402e-10    4.94246339e-02    2.50611298e+00    6.45389838e+00   -3.76803748e-01   -3.92079597e-02
93       2.77527735e-10    4.44310448e-02    2.54238857e+00    6.42861652e+00   -3.76960145e-01   -3.94426405e-02
94       2.80861069e-10    2.24663068e-02    2.56057226e+00    6.40921137e+00   -3.71419312e-01   -3.96276002e-02
95       2.84194402e-10   -8.07979689e-03    2.56943447e+00    6.39401281e+00   -3.62165059e-01   -3.97751546e-02
96       2.87527735e-10   -3.55396927e-02    2.58063713e+00    6.38002187e+00   -3.52339192e-01   -3.99094627e-02
97       2.90861069e-10   -4.94246339e-02    2.60429769e+00    6.36396676e+00   -3.45144837e-01   -4.00581836e-02
98       2.94194402e-10   -4.44310448e-02    2.64514501e+00    6.34359289e+00   -3.42594079e-01   -4.02414986e-02
99       2.97527735e-10   -2.24663068e-02    2.70073231e+00    6.31848834e+00   -3.44785953e-01   -4.04647504e-02
100      3.00861069e-10    8.07979689e-03    2.76239517e+00    6.29018473e+00   -3.49932297e-01   -4.07169552e-02
101      3.04194402e-10    3.55396927e-02    2.81858989e+00    6.26151521e+00   -3.55100714e-01   -4.09755530e-02
102      3.07527735e-10    4.94246339e-02    2.85932851e+00    6.23564676e+00   -3.57224971e-01   -4.12138681e-02
103      3.10861069e-10    4.44310448e-02    2.88001046e+00    6.21492357e+00   -3.54232896e-01   -4.14107590e-02
104      3.14194402e-10    2.24663068e-02    2.88319383e+00    6.19993638e+00   -3.45882899e-01   -4.15590393e-02
105      3.17527735e-10   -8.07979689e-03    2.87763803e+00    6.18917993e+00   -3.33977338e-01   -4.16693817e-02
106      3.20861069e-10   -3.55396927e-02    2.87498219e+00    6.17963260e+00   -3.21669768e-01   -4.17661829e-02
107      3.24194402e-10   -4.94246339e-02    2.88532279e+00    6.16791075e+00   -3.12260608e-01   -4.18782312e-02
108      3.27527735e-10   -4.44310448e-02    2.91337860e+00    6.15156849e+00   -3.07929844e-01   -4.20276258e-02
109      3.30861069e-10   -2.24663068e-02    2.95671055e+00    6.12996718e+00   -3.08967902e-01   -4.22219729e-02
110      3.34194402e-10    8.07979689e-03    3.00667657e+00    6.10453395e+00   -3.13647292e-01   -4.24513222e-02
111      3.37527735e-10    3.55396927e-02    3.05175124e+00    6.07829750e+00   -3.18802094e-01   -4.26911494e-02
112      3.40861069e-10    4.94246339e-02    3.08193632e+00    6.05488425e+00   -3.20892204e-01   -4.29101894e-02
113      3.44194402e-10    4.44310448e-02    3.09258257e+00    6.03709329e+00   -3.17406532e-01   -4.30827758e-02
114      3.47527735e-10    2.24663068e-02    3.08617651e+00    6.02566563e+00   -3.07987721e-01   -4.32002554e-02
115      3.50861069e-10   -8.07979689e-03    3.07141312e+00    6.01887887e+00   -2.94685379e-01   -4.32755048e-02
116      3.54194402e-10   -3.55396927e-02    3.05989704e+00    6.01329903e+00   -2.81073267e-01   -4.33370612e-02
