Index       TIME             V(BASE)           V(COLL)           V(OUT)            I(VDD)      
118      3.14475435e-10    5.90524178e-01    9.99937623e+00    1.42388693e-02   -2.24084636e-03
119      3.17808768e-10    5.64951435e-01    1.00002992e+01    1.42133942e-02   -2.25137091e-03
120      3.21142102e-10    5.43486240e-01    1.00012459e+01    1.42126301e-02   -2.22991222e-03
121      3.24475435e-10    5.35946409e-01    1.00019333e+01    1.39608703e-02   -2.17843301e-03
122      3.27808768e-10    5.46823335e-01    1.00021420e+01    1.32621311e-02   -2.10833626e-03
123      3.31142102e-10    5.73562227e-01    1.00017402e+01    1.20176608e-02   -2.03828573e-03
124      3.34475435e-10    6.07540796e-01    1.00007923e+01    1.03250721e-02   -1.98928128e-03
125      3.37808768e-10    6.37377311e-01    9.99954429e+00    8.45114106e-03   -1.97770339e-03
126      3.41142102e-10    6.53287066e-01    9.99842692e+00    6.82457954e-03   -2.00833464e-03
127      3.44475435e-10    6.50794113e-01    9.99822257e+00    6.18652438e-03   -2.06467515e-03
128      3.47808768e-10    6.32414734e-01    9.99925040e+00    6.78207137e-03   -2.11046825e-03
129      3.51142102e-10    6.06727730e-01    1.00005578e+01    7.60975460e-03   -2.11880213e-03
130      3.54475435e-10    5.85122576e-01    1.00013061e+01    7.84293429e-03   -2.09205831e-03
131      3.57808768e-10    5.77430521e-01    1.00016669e+01    7.68608063e-03   -2.04404771e-03
132      3.61142102e-10    5.88150881e-01    1.00017923e+01    7.31160932e-03   -1.98425077e-03
133      3.64475435e-10    6.14733283e-01    1.00014293e+01    6.48862790e-03   -1.92524011e-03
134      3.67808768e-10    6.48570127e-01    1.00003411e+01    5.01690266e-03   -1.88896491e-03
135      3.71142102e-10    6.78329961e-01    9.99843230e+00    2.84597110e-03   -1.90345584e-03
136      3.74475435e-10    6.94311313e-01    9.99623881e+00    5.39635496e-04   -1.98907443e-03
137      3.77808768e-10    6.92033088e-01    9.99631916e+00    5.82578695e-04   -2.11356380e-03
138      3.81142102e-10    6.73848058e-01    9.99995707e+00    4.06554730e-03   -2.17926358e-03
139      3.84475435e-10    6.48201688e-01    1.00031257e+01    6.86962386e-03   -2.13301416e-03
140      3.87808768e-10    6.26508758e-01    1.00028718e+01    6.18077016e-03   -2.03739503e-03
141      3.91142102e-10    6.18680115e-01    1.00015300e+01    4.48347617e-03   -1.96559736e-03
142      3.94475435e-10    6.29261380e-01    1.00011419e+01    3.81869358e-03   -1.91894876e-03
143      3.97808768e-10    6.55724434e-01    1.00009025e+01    3.34060410e-03   -1.87958196e-03
144      4.01142102e-10    6.89526762e-01    9.99909245e+00    1.37341597e-03   -1.87290565e-03
145      4.04475435e-10    7.19576277e-01    9.99381639e+00   -3.82105326e-03   -1.98508176e-03
146      4.07808768e-10    7.36639130e-01    9.98517543e+00   -1.19367519e-02   -2.33180546e-03
147      4.11142102e-10    7.36363251e-01    9.98417016e+00   -1.21394799e-02   -2.84276738e-03
148      4.14475435e-10    7.20235768e-01    1.00016623e+01    5.57154240e-03   -3.08211925e-03
149      4.17808768e-10    6.95743997e-01    1.00190596e+01    2.20482331e-02   -2.74165329e-03
150      4.21142102e-10    6.74337014e-01    1.00152860e+01    1.69738518e-02   -2.17350863e-03
151      4.24475435e-10    6.66450553e-01    1.00026136e+01    3.61516094e-03   -1.87676046e-03
152      4.27808768e-10    6.76974647e-01    9.99755162e+00   -1.51673293e-03   -1.87190246e-03
153      4.31142102e-10    7.03550617e-01    9.99767167e+00   -1.30270830e-03   -1.94619913e-03
154      4.34475435e-10    7.38103479e-01    9.99069712e+00   -7.96821884e-03   -2.13314206e-03
155      4.37808768e-10    7.72030355e-01    9.94999948e+00   -4.68389547e-02   -3.11474657e-03
156      4.39143157e-10    7.86683133e-01    9.89165304e+00   -1.02451197e-01   -4.55758595e-03
157      4.39656504e-10    7.92392779e-01    9.85865688e+00   -1.34070870e-01   -5.28202406e-03
158      4.40169850e-10    7.98169508e-01    9.81813186e+00   -1.73019445e-01   -6.11046562e-03
159      4.41196543e-10    8.12572055e-01    9.67576417e+00   -3.10423660e-01   -8.70565232e-03
160      4.42120567e-10    8.30442151e-01    9.47013975e+00   -5.08481209e-01   -1.26481037e-02
161      4.43044591e-10    8.53941388e-01    9.23150904e+00   -7.35616162e-01   -1.86419408e-02
162      4.43968615e-10    8.82190886e-01    9.04202491e+00   -9.09895372e-01   -2.66127693e-02
163      4.44800236e-10    9.10671465e-01    8.95564742e+00   -9.80551501e-01   -3.49329658e-02
164      4.45548695e-10    9.38531505e-01    8.93961117e+00   -9.81899603e-01   -4.28039597e-02
165      4.46297155e-10    9.68660703e-01    8.95874518e+00   -9.48318696e-01   -5.06629071e-02
166      4.47794073e-10    1.03628688e+00    9.03262146e+00   -8.47559587e-01   -6.56831842e-02
167      4.49290992e-10    1.11396648e+00    9.11428445e+00   -7.42100675e-01   -7.95373025e-02
168      4.50787910e-10    1.20145216e+00    9.18721108e+00   -6.48359977e-01   -9.22324193e-02
169      4.52284829e-10    1.29832070e+00    9.25233637e+00   -5.65070621e-01   -1.03892397e-01
170      4.55278666e-10    1.51791488e+00    9.36605088e+00   -4.21810500e-01   -1.24530095e-01
171      4.58272503e-10    1.76914199e+00    9.46448013e+00   -3.01719934e-01   -1.41985848e-01
172      4.61266340e-10    2.04461997e+00    9.55400691e+00   -1.97254659e-01   -1.56623201e-01
173      4.64260177e-10    2.33342091e+00    9.63804553e+00   -1.04191240e-01   -1.68659757e-01
174      4.67254014e-10    2.62218991e+00    9.71619154e+00   -2.22595013e-02   -1.78268548e-01
175      4.70247851e-10    2.89747839e+00    9.78593903e+00    4.67546438e-02   -1.85666190e-01
176      4.73241688e-10    3.14845495e+00    9.84497873e+00    1.01360032e-01   -1.91140855e-01
177      4.76235525e-10    3.36911458e+00    9.89209647e+00    1.41215448e-01   -1.95032493e-01
178      4.79229362e-10    3.55924330e+00    9.92774118e+00    1.67614305e-01   -1.97691351e-01
179      4.82223199e-10    3.72385606e+00    9.95345740e+00    1.82838533e-01   -1.99436789e-01
180      4.85217036e-10    3.87126188e+00    9.97126350e+00    1.89497501e-01   -2.00534175e-01
181      4.88550369e-10    4.02591896e+00    9.98406985e+00    1.89665099e-01   -2.01247687e-01
182      4.91883703e-10    4.17916049e+00    9.99135925e+00    1.84482899e-01   -2.01626554e-01
183      4.95217036e-10    4.33362046e+00    9.99444948e+00    1.75571326e-01   -2.01832183e-01
184      4.98550369e-10    4.48508050e+00    9.99441835e+00    1.64214010e-01   -2.01987427e-01
185      5.01883703e-10    4.62464655e+00    9.99243749e+00    1.51702600e-01   -2.02178584e-01
186      5.05217036e-10    4.74271077e+00    9.99004175e+00    1.39596873e-01   -2.02446984e-01
187      5.08550369e-10    4.83314383e+00    9.98891610e+00    1.29501285e-01   -2.02779600e-01
188      5.11883703e-10    4.89612055e+00    9.99005550e+00    1.22249011e-01   -2.03117478e-01
189      5.15217036e-10    4.93851648e+00    9.99309974e+00    1.17308018e-01   -2.03389745e-01
