Index       TIME            V(BASE_P)          V(EMIT)          V(COLL_P)         V(OUT_P)         I(V_SUPPLY)        I(I_TAIL)    
152      5.06666667e-10    1.89664366e+00    1.06304409e+00    3.95129935e+00   -4.52771393e-02   -1.12411453e-02    1.00000000e-02
153      5.10000000e-10    1.89886733e+00    1.06633643e+00    4.00462984e+00    8.66357133e-03   -1.13130112e-02    1.00000000e-02
154      5.13333333e-10    1.89207750e+00    1.06200417e+00    4.03889439e+00    4.20823647e-02   -1.11111666e-02    1.00000000e-02
155      5.16666667e-10    1.87904659e+00    1.05367372e+00    4.04049443e+00    4.22764205e-02   -1.07711845e-02    1.00000000e-02
156      5.20000000e-10    1.86580594e+00    1.04779044e+00    4.03406739e+00    3.45686296e-02   -1.06689863e-02    1.00000000e-02
157      5.23333333e-10    1.85795990e+00    1.04605733e+00    4.03485703e+00    3.42119260e-02   -1.09402100e-02    1.00000000e-02
158      5.26666667e-10    1.85801382e+00    1.04609641e+00    4.02494636e+00    2.33420210e-02   -1.12807316e-02    1.00000000e-02
159      5.30000000e-10    1.86545851e+00    1.04695720e+00    3.98841251e+00   -1.33582212e-02   -1.13551505e-02    1.00000000e-02
160      5.33333333e-10    1.87776013e+00    1.05029950e+00    3.94291350e+00   -5.76733716e-02   -1.12153445e-02    1.00000000e-02
161      5.36666667e-10    1.89111195e+00    1.05775974e+00    3.92605763e+00   -7.23619860e-02   -1.11514142e-02    1.00000000e-02
162      5.40000000e-10    1.90100932e+00    1.06645144e+00    3.95697407e+00   -3.95798484e-02   -1.12608415e-02    1.00000000e-02
163      5.43333333e-10    1.90328071e+00    1.06995005e+00    4.00968682e+00    1.35664532e-02   -1.13161900e-02    1.00000000e-02
164      5.46666667e-10    1.89635004e+00    1.06515684e+00    4.03905323e+00    4.20066493e-02   -1.10936868e-02    1.00000000e-02
165      5.50000000e-10    1.88309944e+00    1.05579489e+00    4.03492490e+00    3.65687260e-02   -1.07296124e-02    1.00000000e-02
166      5.53333333e-10    1.86972147e+00    1.04869939e+00    4.02588602e+00    2.64790519e-02   -1.06098115e-02    1.00000000e-02
167      5.56666667e-10    1.86193564e+00    1.04616539e+00    4.02882283e+00    2.84995504e-02   -1.08889632e-02    1.00000000e-02
168      5.60000000e-10    1.86220523e+00    1.04607198e+00    4.02366440e+00    2.24912773e-02   -1.12672740e-02    1.00000000e-02
169      5.63333333e-10    1.86988683e+00    1.04755988e+00    3.99038823e+00   -1.09768052e-02   -1.13840112e-02    1.00000000e-02
170      5.66666667e-10    1.88240827e+00    1.05217386e+00    3.94625029e+00   -5.40312769e-02   -1.12637704e-02    1.00000000e-02
171      5.70000000e-10    1.89599843e+00    1.06108829e+00    3.93142036e+00   -6.68465690e-02   -1.11938218e-02    1.00000000e-02
172      5.73333333e-10    1.90607893e+00    1.07070549e+00    3.96410871e+00   -3.25024028e-02   -1.12840595e-02    1.00000000e-02
173      5.76666667e-10    1.90834325e+00    1.07432433e+00    4.01462094e+00    1.82474101e-02   -1.13156479e-02    1.00000000e-02
174      5.80000000e-10    1.90123110e+00    1.06904645e+00    4.03814326e+00    4.07858347e-02   -1.10695485e-02    1.00000000e-02
175      5.83333333e-10    1.88775591e+00    1.05864050e+00    4.02863217e+00    3.00934256e-02   -1.06845124e-02    1.00000000e-02
176      5.86666667e-10    1.87423209e+00    1.05021927e+00    4.01734088e+00    1.80005671e-02   -1.05485676e-02    1.00000000e-02
177      5.90000000e-10    1.86647813e+00    1.04678326e+00    4.02198260e+00    2.19760160e-02   -1.08313132e-02    1.00000000e-02
178      5.93333333e-10    1.86695468e+00    1.04658759e+00    4.02136701e+00    2.06499871e-02   -1.12452050e-02    1.00000000e-02
179      5.96666667e-10    1.87491143e+00    1.04883535e+00    3.99234809e+00   -8.57025884e-03   -1.14103202e-02    1.00000000e-02
180      6.00000000e-10    1.88771887e+00    1.05492369e+00    3.95120639e+00   -4.87565073e-02   -1.13188365e-02    1.00000000e-02
181      6.03333333e-10    1.90158271e+00    1.06537870e+00    3.93912758e+00   -5.90387366e-02   -1.12462404e-02    1.00000000e-02
182      6.06666667e-10    1.91180442e+00    1.07579626e+00    3.97233542e+00   -2.44395917e-02   -1.13102096e-02    1.00000000e-02
183      6.10000000e-10    1.91398455e+00    1.07940965e+00    4.01859013e+00    2.18581457e-02   -1.13072873e-02    1.00000000e-02
184      6.13333333e-10    1.90666073e+00    1.07366237e+00    4.03577147e+00    3.80411686e-02   -1.10360725e-02    1.00000000e-02
185      6.16666667e-10    1.89298700e+00    1.06230326e+00    4.02212842e+00    2.33745159e-02   -1.06390613e-02    1.00000000e-02
186      6.20000000e-10    1.87932849e+00    1.05252856e+00    4.00941373e+00    1.01018849e-02   -1.04928164e-02    1.00000000e-02
187      6.23333333e-10    1.87156469e+00    1.04809723e+00    4.01492720e+00    1.51937701e-02   -1.07722854e-02    1.00000000e-02
188      6.26666667e-10    1.87221096e+00    1.04782639e+00    4.01793172e+00    1.76508731e-02   -1.12125165e-02    1.00000000e-02
189      6.30000000e-10    1.88046741e+00    1.05096992e+00    3.99402568e+00   -6.44198132e-03   -1.14288661e-02    1.00000000e-02
190      6.33333333e-10    1.89362360e+00    1.05868477e+00    3.95778857e+00   -4.18738313e-02   -1.13782359e-02    1.00000000e-02
191      6.36666667e-10    1.90777542e+00    1.07061930e+00    3.94899089e+00   -4.91543657e-02   -1.13088438e-02    1.00000000e-02
192      6.40000000e-10    1.91806398e+00    1.08159842e+00    3.98083046e+00   -1.62251387e-02   -1.13373906e-02    1.00000000e-02
193      6.43333333e-10    1.92007587e+00    1.08507481e+00    4.02074078e+00    2.35628822e-02   -1.12873680e-02    1.00000000e-02
194      6.46666667e-10    1.91253371e+00    1.07891892e+00    4.03188175e+00    3.37486587e-02   -1.09922388e-02    1.00000000e-02
195      6.50000000e-10    1.89871856e+00    1.06679754e+00    4.01615274e+00    1.71709862e-02   -1.05975108e-02    1.00000000e-02
196      6.53333333e-10    1.88495681e+00    1.05576452e+00    4.00316062e+00    3.82887397e-03   -1.04507690e-02    1.00000000e-02
197      6.56666667e-10    1.87713578e+00    1.05028056e+00    4.00844372e+00    8.89982990e-03   -1.07188386e-02    1.00000000e-02
198      6.60000000e-10    1.87788743e+00    1.04994181e+00    4.01348717e+00    1.35688028e-02   -1.11696045e-02    1.00000000e-02
199      6.63333333e-10    1.88644359e+00    1.05408527e+00    3.99512388e+00   -4.93833613e-03   -1.14348099e-02    1.00000000e-02
200      6.66666667e-10    1.89998853e+00    1.06345484e+00    3.96552782e+00   -3.38872989e-02   -1.14371084e-02    1.00000000e-02
201      6.70000000e-10    1.91441133e+00    1.07664258e+00    3.96014194e+00   -3.80738240e-02   -1.13780620e-02    1.00000000e-02
202      6.73333333e-10    1.92467682e+00    1.08789582e+00    3.98855001e+00   -8.88313862e-03   -1.13627860e-02    1.00000000e-02
203      6.76666667e-10    1.92645545e+00    1.09114185e+00    4.02070164e+00    2.30326656e-02   -1.12554728e-02    1.00000000e-02
204      6.80000000e-10    1.91871663e+00    1.08467117e+00    4.02693854e+00    2.84121465e-02   -1.09405370e-02    1.00000000e-02
205      6.83333333e-10    1.90483146e+00    1.07202937e+00    4.01138115e+00    1.21782517e-02   -1.05634992e-02    1.00000000e-02
206      6.86666667e-10    1.89100807e+00    1.05995012e+00    3.99920693e+00   -1.95676523e-04   -1.04270716e-02    1.00000000e-02
