Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
111      3.70000000e-10    2.08898073e+00    3.99078539e+00   -9.46502549e-03   -2.57138794e-02
112      3.73333333e-10    2.09745579e+00    3.99051651e+00   -9.11457653e-03   -2.60238194e-02
113      3.76666667e-10    2.09726976e+00    3.99388950e+00   -5.26235609e-03   -2.62837563e-02
114      3.80000000e-10    2.08849340e+00    3.99961174e+00    6.14799050e-04   -2.63938241e-02
115      3.83333333e-10    2.07447904e+00    4.00547159e+00    6.24595670e-03   -2.63119048e-02
116      3.86666667e-10    2.06058111e+00    4.00921882e+00    9.46934586e-03   -2.60698442e-02
117      3.90000000e-10    2.05210992e+00    4.00944168e+00    9.07409275e-03   -2.57605300e-02
118      3.93333333e-10    2.05230188e+00    4.00607782e+00    5.23331699e-03   -2.55018331e-02
119      3.96666667e-10    2.06108332e+00    4.00040723e+00   -5.91985331e-04   -2.53919926e-02
120      4.00000000e-10    2.07510010e+00    3.99457022e+00   -6.20251425e-03   -2.54728985e-02
121      4.03333333e-10    2.08899962e+00    3.99078545e+00   -9.46503154e-03   -2.57141907e-02
122      4.06666667e-10    2.09747450e+00    3.99051659e+00   -9.11456645e-03   -2.60241284e-02
123      4.10000000e-10    2.09728831e+00    3.99388958e+00   -5.26234598e-03   -2.62840626e-02
124      4.13333333e-10    2.08851177e+00    3.99961184e+00    6.14831075e-04   -2.63941274e-02
125      4.16666667e-10    2.07449724e+00    4.00547169e+00    6.24598445e-03   -2.63122047e-02
126      4.20000000e-10    2.06059914e+00    4.00921893e+00    9.46938042e-03   -2.60701406e-02
127      4.23333333e-10    2.05212778e+00    4.00944178e+00    9.07410650e-03   -2.57608230e-02
128      4.26666667e-10    2.05231957e+00    4.00607791e+00    5.23332620e-03   -2.55021232e-02
129      4.30000000e-10    2.06110084e+00    4.00040730e+00   -5.91997102e-04   -2.53922802e-02
130      4.33333333e-10    2.07511746e+00    3.99457029e+00   -6.20252359e-03   -2.54731838e-02
131      4.36666667e-10    2.08901682e+00    3.99078551e+00   -9.46505038e-03   -2.57144740e-02
132      4.40000000e-10    2.09749154e+00    3.99051667e+00   -9.11457056e-03   -2.60244094e-02
133      4.43333333e-10    2.09730519e+00    3.99388966e+00   -5.26234832e-03   -2.62843413e-02
134      4.46666667e-10    2.08852850e+00    3.99961194e+00    6.14848641e-04   -2.63944033e-02
135      4.50000000e-10    2.07451381e+00    4.00547178e+00    6.24599970e-03   -2.63124775e-02
136      4.53333333e-10    2.06061556e+00    4.00921903e+00    9.46940178e-03   -2.60704102e-02
137      4.56666667e-10    2.05214404e+00    4.00944186e+00    9.07411032e-03   -2.57610896e-02
138      4.60000000e-10    2.05233568e+00    4.00607799e+00    5.23332577e-03   -2.55023872e-02
139      4.63333333e-10    2.06111680e+00    4.00040736e+00   -5.92015377e-04   -2.53925418e-02
140      4.66666667e-10    2.07513327e+00    3.99457035e+00   -6.20253978e-03   -2.54734434e-02
141      4.70000000e-10    2.08903248e+00    3.99078556e+00   -9.46507410e-03   -2.57147317e-02
142      4.73333333e-10    2.09750706e+00    3.99051673e+00   -9.11458100e-03   -2.60246652e-02
143      4.76666667e-10    2.09732057e+00    3.99388973e+00   -5.26235614e-03   -2.62845949e-02
144      4.80000000e-10    2.08854373e+00    3.99961202e+00    6.14858790e-04   -2.63946544e-02
145      4.83333333e-10    2.07452890e+00    4.00547187e+00    6.24600866e-03   -2.63127258e-02
146      4.86666667e-10    2.06063051e+00    4.00921912e+00    9.46941612e-03   -2.60706556e-02
147      4.90000000e-10    2.05215885e+00    4.00944194e+00    9.07410953e-03   -2.57613323e-02
148      4.93333333e-10    2.05235035e+00    4.00607806e+00    5.23332092e-03   -2.55026274e-02
149      4.96666667e-10    2.06113133e+00    4.00040741e+00   -5.92035714e-04   -2.53927799e-02
150      5.00000000e-10    2.07514766e+00    3.99457040e+00   -6.20255843e-03   -2.54736797e-02
151      5.03333333e-10    2.08904674e+00    3.99078561e+00   -9.46509889e-03   -2.57149663e-02
152      5.06666667e-10    2.09752119e+00    3.99051679e+00   -9.11459393e-03   -2.60248981e-02
153      5.10000000e-10    2.09733456e+00    3.99388979e+00   -5.26236600e-03   -2.62848258e-02
154      5.13333333e-10    2.08855760e+00    3.99961210e+00    6.14865034e-04   -2.63948830e-02
155      5.16666667e-10    2.07454264e+00    4.00547195e+00    6.24601445e-03   -2.63129519e-02
156      5.20000000e-10    2.06064412e+00    4.00921921e+00    9.46942656e-03   -2.60708790e-02
157      5.23333333e-10    2.05217233e+00    4.00944200e+00    9.07410677e-03   -2.57615532e-02
158      5.26666667e-10    2.05236370e+00    4.00607813e+00    5.23331420e-03   -2.55028461e-02
159      5.30000000e-10    2.06114456e+00    4.00040746e+00   -5.92055999e-04   -2.53929967e-02
160      5.33333333e-10    2.07516076e+00    3.99457046e+00   -6.20257744e-03   -2.54738948e-02
161      5.36666667e-10    2.08905972e+00    3.99078565e+00   -9.46512299e-03   -2.57151799e-02
162      5.40000000e-10    2.09753405e+00    3.99051684e+00   -9.11460749e-03   -2.60251100e-02
163      5.43333333e-10    2.09734731e+00    3.99388984e+00   -5.26237629e-03   -2.62850359e-02
164      5.46666667e-10    2.08857023e+00    3.99961217e+00    6.14869157e-04   -2.63950911e-02
165      5.50000000e-10    2.07455515e+00    4.00547202e+00    6.24601861e-03   -2.63131577e-02
166      5.53333333e-10    2.06065651e+00    4.00921928e+00    9.46943469e-03   -2.60710824e-02
167      5.56666667e-10    2.05218461e+00    4.00944207e+00    9.07410329e-03   -2.57617543e-02
168      5.60000000e-10    2.05237586e+00    4.00607819e+00    5.23330687e-03   -2.55030452e-02
169      5.63333333e-10    2.06115660e+00    4.00040751e+00   -5.92075290e-04   -2.53931941e-02
170      5.66666667e-10    2.07517270e+00    3.99457050e+00   -6.20259582e-03   -2.54740907e-02
171      5.70000000e-10    2.08907154e+00    3.99078569e+00   -9.46514562e-03   -2.57153743e-02
172      5.73333333e-10    2.09754576e+00    3.99051689e+00   -9.11462078e-03   -2.60253030e-02
173      5.76666667e-10    2.09735891e+00    3.99388989e+00   -5.26238625e-03   -2.62852273e-02
174      5.80000000e-10    2.08858173e+00    3.99961223e+00    6.14872074e-04   -2.63952806e-02
175      5.83333333e-10    2.07456655e+00    4.00547208e+00    6.24602190e-03   -2.63133450e-02
176      5.86666667e-10    2.06066780e+00    4.00921935e+00    9.46944135e-03   -2.60712676e-02
