Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
80       2.51666667e-10    4.30662484e-03    9.94977449e+00   -3.47675180e-02   -1.48121573e-02
81       2.54666667e-10   -1.08534948e-01    9.98141560e+00   -2.02270033e-03   -1.58443060e-02
82       2.57666667e-10   -1.87882224e-01    1.00142993e+01    3.00210555e-02   -1.59085825e-02
83       2.60666667e-10   -2.08090530e-01    1.00384754e+01    5.17442028e-02   -1.51169617e-02
84       2.63666667e-10   -1.62655677e-01    1.00459698e+01    5.60060533e-02   -1.38502841e-02
85       2.66666667e-10   -6.64224232e-02    1.00337100e+01    4.08408792e-02   -1.26550875e-02
86       2.69666667e-10    4.98227808e-02    1.00052313e+01    1.08125823e-02   -1.20709679e-02
87       2.72666667e-10    1.49774119e-01    9.96976400e+00   -2.42515577e-02   -1.24460383e-02
88       2.75666667e-10    2.03009916e-01    9.93885044e+00   -5.28520145e-02   -1.38168217e-02
89       2.78666667e-10    1.93735952e-01    9.92208819e+00   -6.60472854e-02   -1.59027424e-02
90       2.81666667e-10    1.24796714e-01    9.92397150e+00   -6.03714093e-02   -1.82118471e-02
91       2.84666667e-10    1.67715805e-02    9.94307446e+00   -3.83080659e-02   -2.02061577e-02
92       2.87666667e-10   -9.73428002e-02    9.97328264e+00   -6.74819812e-03   -2.14608012e-02
93       2.90666667e-10   -1.81589353e-01    1.00056836e+01    2.51021567e-02   -2.17763074e-02
94       2.93666667e-10   -2.08805459e-01    1.00304841e+01    4.77180049e-02   -2.12337922e-02
95       2.97000000e-10   -1.62626845e-01    1.00393285e+01    5.31985193e-02   -2.00702500e-02
96       3.00333333e-10   -5.45888128e-02    1.00247036e+01    3.56132811e-02   -1.90030486e-02
97       3.03666667e-10    7.35483193e-02    9.99160003e+00    1.27992239e-03   -1.87313210e-02
98       3.07000000e-10    1.73208101e-01    9.95281790e+00   -3.63337537e-02   -1.96576888e-02
99       3.10333333e-10    2.07412159e-01    9.92343121e+00   -6.24283741e-02   -2.17202038e-02
100      3.13666667e-10    1.63648888e-01    9.91421833e+00   -6.73164249e-02   -2.44260449e-02
101      3.17000000e-10    5.76990079e-02    9.92764874e+00   -4.99762574e-02   -2.70615937e-02
102      3.20333333e-10   -7.13645508e-02    9.95802716e+00   -1.73535138e-02   -2.89669954e-02
103      3.23666667e-10   -1.74247724e-01    9.99423084e+00    1.88018918e-02   -2.97626954e-02
104      3.27000000e-10   -2.10388099e-01    1.00228979e+01    4.53311318e-02   -2.94772171e-02
105      3.30333333e-10   -1.65250314e-01    1.00324120e+01    5.16137460e-02   -2.85553869e-02
106      3.33666667e-10   -5.66677322e-02    1.00178305e+01    3.41727336e-02   -2.77180126e-02
107      3.37000000e-10    7.29497125e-02    9.98405906e+00   -7.13998188e-04   -2.76865201e-02
108      3.40333333e-10    1.74072779e-01    9.94431875e+00   -3.91262961e-02   -2.88802233e-02
109      3.43666667e-10    2.09004694e-01    9.91421595e+00   -6.57337604e-02   -3.12379783e-02
110      3.47000000e-10    1.65018750e-01    9.90478695e+00   -7.06177145e-02   -3.42545967e-02
111      3.50333333e-10    5.81786127e-02    9.91838305e+00   -5.29042129e-02   -3.72017634e-02
112      3.53666667e-10   -7.18856460e-02    9.94899053e+00   -1.98708954e-02   -3.94122037e-02
113      3.57000000e-10   -1.75347135e-01    9.98519545e+00    1.64481152e-02   -4.05091041e-02
114      3.60333333e-10   -2.11411544e-01    1.00134977e+01    4.27762545e-02   -4.05308843e-02
115      3.63666667e-10   -1.65692773e-01    1.00223313e+01    4.85651256e-02   -3.99337335e-02
116      3.67000000e-10   -5.64061088e-02    1.00069745e+01    3.05704354e-02   -3.94453035e-02
117      3.70333333e-10    7.36690782e-02    9.97260759e+00   -4.66012917e-03   -3.97856023e-02
118      3.73666667e-10    1.74822403e-01    9.93261464e+00   -4.30623300e-02   -4.13652318e-02
119      3.77000000e-10    2.09411051e-01    9.90255329e+00   -6.93757513e-02   -4.41124330e-02
120      3.80333333e-10    1.64925989e-01    9.89324589e+00   -7.39070524e-02   -4.75157801e-02
121      3.83666667e-10    5.76889781e-02    9.90680835e+00   -5.60138949e-02   -5.08482094e-02
122      3.87000000e-10   -7.24901825e-02    9.93710492e+00   -2.30808376e-02   -5.34496550e-02
123      3.90333333e-10   -1.75764769e-01    9.97274097e+00    1.28947483e-02   -5.49522236e-02
124      3.93666667e-10   -2.11482787e-01    1.00003257e+01    3.87577780e-02   -5.54011117e-02
125      3.97000000e-10   -1.65458440e-01    1.00084413e+01    4.41109974e-02   -5.52549950e-02
126      4.00333333e-10   -5.60402763e-02    9.99251164e+00    2.58493691e-02   -5.52391133e-02
127      4.03666667e-10    7.39758095e-02    9.95779769e+00   -9.41248326e-03   -5.60672912e-02
128      4.07000000e-10    1.74948047e-01    9.91764851e+00   -4.76592704e-02   -5.81431880e-02
129      4.10333333e-10    2.09331340e-01    9.88748714e+00   -7.37729024e-02   -6.13909273e-02
130      4.13666667e-10    1.64700558e-01    9.87798174e+00   -7.82121309e-02   -6.52997794e-02
131      4.17000000e-10    5.74257353e-02    9.89115898e+00   -6.04140145e-02   -6.91474340e-02
132      4.20333333e-10   -7.26822036e-02    9.92089205e+00   -2.77424038e-02   -7.22799168e-02
133      4.23666667e-10   -1.75826130e-01    9.95585913e+00    7.88654214e-03   -7.43340638e-02
134      4.27000000e-10   -2.11430164e-01    9.98275254e+00    3.34036132e-02   -7.53572026e-02
135      4.30333333e-10   -1.65359574e-01    9.99022310e+00    3.84781179e-02   -7.58076085e-02
136      4.33666667e-10   -5.59601292e-02    9.97374387e+00    2.00480102e-02   -7.64081590e-02
137      4.37000000e-10    7.40087051e-02    9.93858753e+00   -1.52676761e-02   -7.78693024e-02
