Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)           V(OUT_50)          I(V_DD)     
80       2.62031370e-10   -1.91682672e-02    8.31920559e-01    1.24353772e+00    1.79926814e+00    3.24370280e-02   -3.50365931e-03
81       2.65364703e-10   -6.07395788e-03    8.42651252e-01    1.22917167e+00    1.79392382e+00    2.51723913e-02   -3.53038092e-03
82       2.68698036e-10    9.34039695e-03    8.54210130e-01    1.19688917e+00    1.77785445e+00    7.99736813e-03   -3.61072774e-03
83       2.72031370e-10    2.11870376e-02    8.62184217e-01    1.15921470e+00    1.75652572e+00   -1.31593001e-02   -3.71737141e-03
84       2.75364703e-10    2.49409500e-02    8.63601473e-01    1.13197629e+00    1.73878385e+00   -2.94798627e-02   -3.80608075e-03
85       2.78698036e-10    1.91682672e-02    8.57955597e-01    1.12611437e+00    1.73238679e+00   -3.37686391e-02   -3.83806605e-03
86       2.82031370e-10    6.07395788e-03    8.47363079e-01    1.14304375e+00    1.73972249e+00   -2.44909490e-02   -3.80138753e-03
87       2.85364703e-10   -9.34039695e-03    8.35810839e-01    1.17521583e+00    1.75707678e+00   -6.11641587e-03   -3.71461609e-03
88       2.88698036e-10   -2.11870376e-02    8.27704131e-01    1.21026068e+00    1.77719944e+00    1.37517284e-02   -3.61400282e-03
89       2.92031370e-10   -2.49409500e-02    8.26199961e-01    1.23598312e+00    1.79292241e+00    2.80803022e-02   -3.53538794e-03
90       2.95364703e-10   -1.91682672e-02    8.31925541e-01    1.24352194e+00    1.79928161e+00    3.24227289e-02   -3.50359197e-03
91       2.98698036e-10   -6.07395788e-03    8.42656191e-01    1.22915560e+00    1.79393607e+00    2.51578361e-02   -3.53031967e-03
92       3.02031370e-10    9.34039695e-03    8.54215031e-01    1.19687291e+00    1.77786527e+00    7.98236427e-03   -3.61067366e-03
93       3.05364703e-10    2.11870376e-02    8.62189101e-01    1.15919866e+00    1.75653520e+00   -1.31746273e-02   -3.71732400e-03
94       3.08698036e-10    2.49409500e-02    8.63606356e-01    1.13196077e+00    1.73879230e+00   -2.94952037e-02   -3.80603852e-03
95       3.12031370e-10    1.91682672e-02    8.57960489e-01    1.12609954e+00    1.73239451e+00   -3.37836902e-02   -3.83802744e-03
96       3.15364703e-10    6.07395788e-03    8.47367984e-01    1.14302969e+00    1.73972979e+00   -2.45054428e-02   -3.80135105e-03
97       3.18698036e-10   -9.34039695e-03    8.35815758e-01    1.17520259e+00    1.75708388e+00   -6.13016918e-03   -3.71458062e-03
98       3.22031370e-10   -2.11870376e-02    8.27709055e-01    1.21024811e+00    1.77720641e+00    1.37387464e-02   -3.61396795e-03
99       3.25364703e-10   -2.49409500e-02    8.26204873e-01    1.23597088e+00    1.79292909e+00    2.80678747e-02   -3.53535454e-03
100      3.28698036e-10   -1.91682672e-02    8.31930416e-01    1.24350953e+00    1.79928762e+00    3.24104558e-02   -3.50356191e-03
101      3.32031370e-10   -6.07395788e-03    8.42661016e-01    1.22914275e+00    1.79394099e+00    2.51452976e-02   -3.53029507e-03
102      3.35364703e-10    9.34039695e-03    8.54219814e-01    1.19685976e+00    1.77786889e+00    7.96938029e-03   -3.61065555e-03
103      3.38698036e-10    2.11870376e-02    8.62193861e-01    1.15918562e+00    1.75653762e+00   -1.31879366e-02   -3.71731189e-03
104      3.42031370e-10    2.49409500e-02    8.63611109e-01    1.13194812e+00    1.73879382e+00   -2.95085266e-02   -3.80603092e-03
105      3.45364703e-10    1.91682672e-02    8.57965243e-01    1.12608746e+00    1.73239543e+00   -3.37967337e-02   -3.83802283e-03
106      3.48698036e-10    6.07395788e-03    8.47372744e-01    1.14301826e+00    1.73973040e+00   -2.45179432e-02   -3.80134799e-03
107      3.52031370e-10   -9.34039695e-03    8.35820525e-01    1.17519184e+00    1.75708439e+00   -6.14195733e-03   -3.71457804e-03
108      3.55364703e-10   -2.11870376e-02    8.27713821e-01    1.21023792e+00    1.77720691e+00    1.37276992e-02   -3.61396547e-03
109      3.58698036e-10   -2.49409500e-02    8.26209622e-01    1.23596092e+00    1.79292939e+00    2.80573496e-02   -3.53535304e-03
110      3.62031370e-10   -1.91682672e-02    8.31935124e-01    1.24349934e+00    1.79928736e+00    3.24000664e-02   -3.50356322e-03
111      3.65364703e-10   -6.07395788e-03    8.42665673e-01    1.22913208e+00    1.79393975e+00    2.51346342e-02   -3.53030127e-03
112      3.68698036e-10    9.34039695e-03    8.54224426e-01    1.19684875e+00    1.77786648e+00    7.95827296e-03   -3.61066759e-03
113      3.72031370e-10    2.11870376e-02    8.62198449e-01    1.15917464e+00    1.75653413e+00   -1.31993716e-02   -3.71732933e-03
114      3.75364703e-10    2.49409500e-02    8.63615688e-01    1.13193748e+00    1.73878954e+00   -2.95199825e-02   -3.80605228e-03
115      3.78698036e-10    1.91682672e-02    8.57969822e-01    1.12607732e+00    1.73239067e+00   -3.38079282e-02   -3.83804666e-03
116      3.82031370e-10    6.07395788e-03    8.47377325e-01    1.14300869e+00    1.73972542e+00   -2.45286204e-02   -3.80137288e-03
117      3.85364703e-10   -9.34039695e-03    8.35825108e-01    1.17518288e+00    1.75707940e+00   -6.15195871e-03   -3.71460300e-03
118      3.88698036e-10   -2.11870376e-02    8.27718401e-01    1.21022945e+00    1.77720197e+00    1.37183996e-02   -3.61399013e-03
